Date,Index_Close,Index_return
02-02-2021,14647.84961,0.025673571
03-02-2021,14789.9502,0.009701123
04-02-2021,14895.65039,0.007146758
05-02-2021,14924.25,0.001919997
08-02-2021,15115.7998,0.012834803
09-02-2021,15109.2998,-0.000430014
10-02-2021,15106.5,-0.000185303
11-02-2021,15173.2998,0.004421925
12-02-2021,15163.2998,-0.000659052
15-02-2021,15314.7002,0.00998466
16-02-2021,15313.4502,-8.16209E-05
17-02-2021,15208.90039,-0.006827319
18-02-2021,15118.9502,-0.005914313
19-02-2021,14981.75,-0.009074717
22-02-2021,14675.7002,-0.020428175
23-02-2021,14707.7998,0.002187263
24-02-2021,14982,0.018643182
25-02-2021,15097.34961,0.007699213
26-02-2021,14529.15039,-0.037635693
01-03-2021,14761.5498,0.015995389
02-03-2021,14919.09961,0.010672985
03-03-2021,15245.59961,0.021884699
04-03-2021,15080.75,-0.010812931
05-03-2021,14938.09961,-0.009459105
08-03-2021,14956.2002,0.001211706
09-03-2021,15098.40039,0.009507776
10-03-2021,15174.7998,0.0050601
12-03-2021,15030.9502,-0.009479506
15-03-2021,14929.5,-0.00674942
16-03-2021,14910.4502,-0.001275984
17-03-2021,14721.2998,-0.01268576
18-03-2021,14557.84961,-0.011102973
19-03-2021,14744,0.012786943
22-03-2021,14736.40039,-0.000515437
23-03-2021,14814.75,0.00531674
24-03-2021,14549.40039,-0.017911177
25-03-2021,14324.90039,-0.015430189
26-03-2021,14507.2998,0.012733032
30-03-2021,14845.09961,0.023284816
31-03-2021,14690.7002,-0.010400699
01-04-2021,14867.34961,0.012024574
05-04-2021,14637.7998,-0.015439861
06-04-2021,14683.5,0.003122067
07-04-2021,14819.0498,0.009231437
08-04-2021,14873.7998,0.003694569
09-04-2021,14834.84961,-0.002618712
12-04-2021,14310.7998,-0.035325589
13-04-2021,14504.7998,0.013556196
15-04-2021,14581.4502,0.005284485
16-04-2021,14617.84961,0.002496282
19-04-2021,14359.4502,-0.017676979
20-04-2021,14296.40039,-0.004390823
22-04-2021,14406.15039,0.007676758
23-04-2021,14341.34961,-0.004498133
26-04-2021,14485,0.010016518
27-04-2021,14653.0498,0.011601643
28-04-2021,14864.5498,0.014433855
29-04-2021,14894.90039,0.00204181
30-04-2021,14631.09961,-0.017710812
03-05-2021,14634.15039,0.000208513
04-05-2021,14496.5,-0.009406107
05-05-2021,14617.84961,0.008370959
06-05-2021,14724.7998,0.007316411
07-05-2021,14823.15039,0.006679248
10-05-2021,14942.34961,0.008041423
11-05-2021,14850.75,-0.006130201
12-05-2021,14696.5,-0.010386681
14-05-2021,14677.7998,-0.001272425
17-05-2021,14923.15039,0.01671576
18-05-2021,15108.09961,0.012393443
19-05-2021,15030.15039,-0.005159432
20-05-2021,14906.0498,-0.008256776
21-05-2021,15175.2998,0.018063136
24-05-2021,15197.7002,0.001476109
25-05-2021,15208.4502,0.000707344
26-05-2021,15301.4502,0.006115022
27-05-2021,15337.84961,0.002378821
28-05-2021,15435.65039,0.006376434
